ID;B1_R1;B1_R2;B1_R3;B2_R1;B2_R2;B2_R3;B3_R1;B3_R2;B3_R3;B4_R1;B4_R2;B4_R3;B5_R1;B5_R2;B5_R3;B6_R1;B6_R2;B6_R3;B7_R1;B7_R2;B7_R3;B8_R1;B8_R2;B8_R3;B9_R1;B9_R2;B9_R3;B10_R1;B10_R2;B10_R3;B11_R1;B11_R2;B11_R3;B12_R1;B12_R2;B12_R3
Person_som_har_samlet_data;LGV;LGV;LGV;LGV;LGV;LGV;LGV;LGV;LGV;LGV;LGV;LGV;LGV;LGV;LGV;LGV;LGV;LGV;LGV;LGV;LGV;LGV;LGV;LGV;LGV;LGV;LGV;Liv Guri Velle (LGV);LGV;LGV;LGV;LGV;LGV;LGV;LGV;LGV
Sted;Nerlandsøy;Nerlandsøy;Nerlandsøy;Nerlandsøy;Nerlandsøy;Nerlandsøy;Nerlandsøy;Nerlandsøy;Nerlandsøy;Nerlandsøy;Nerlandsøy;Nerlandsøy;Nerlandsøy;Nerlandsøy;Nerlandsøy;Nerlandsøy;Nerlandsøy;Nerlandsøy;Nerlandsøy;Nerlandsøy;Nerlandsøy;Nerlandsøy;Nerlandsøy;Nerlandsøy;Nerlandsøy;Nerlandsøy;Nerlandsøy;Nerlandsøy;Nerlandsøy;Nerlandsøy;Nerlandsøy;Nerlandsøy;Nerlandsøy;Nerlandsøy;Nerlandsøy;Nerlandsøy
Naturtype;Kystlynghei;Kystlynghei;Kystlynghei;Kystlynghei;Kystlynghei;Kystlynghei;Kystlynghei;Kystlynghei;Kystlynghei;Kystlynghei;Kystlynghei;Kystlynghei;Kystlynghei;Kystlynghei;Kystlynghei;Kystlynghei;Kystlynghei;Kystlynghei;Kystlynghei;Kystlynghei;Kystlynghei;Kystlynghei;Kystlynghei;Kystlynghei;Kystlynghei;Kystlynghei;Kystlynghei;Semi-naturlig eng;Semi-naturlig eng;Semi-naturlig eng;Semi-naturlig eng;Semi-naturlig eng;Semi-naturlig eng;Semi-naturlig eng;Semi-naturlig eng;Semi-naturlig eng
Fase;BF;BF;BF;BF;BF;BF;BF;BF;BF;MF;MF;MF;MF;MF;MF;MF;MF;MF;PF;PF;PF;PF;PF;PF;PF;PF;PF;NA;NA;NA;NA;NA;NA;NA;NA;NA
Suksesjonstrinn;2;2;2;2;2;2;2;2;2;3;3;3;3;3;3;3;3;3;1;1;1;1;1;1;1;1;1;NA;NA;NA;NA;NA;NA;NA;NA;NA
Dato;14.08.2022;14.08.2022;14.08.2022;14.08.2022;14.08.2022;14.08.2022;14.08.2022;14.08.2022;14.08.2022;13.08.2022;13.08.2022;13.08.2022;13.08.2022;13.08.2022;13.08.2022;13.08.2022;13.08.2022;13.08.2022;13.08.2022;13.08.2022;13.08.2022;13.08.2022;13.08.2022;13.08.2022;13.08.2022;13.08.2022;13.08.2022;22.08.2023;22.08.2023;22.08.2023;22.08.2023;22.08.2023;23.08.2023;23.08.2023;23.08.2023;23.08.2023
Year;2022;2022;2022;2022;2022;2022;2022;2022;2022;2022;2022;2022;2022;2022;2022;2022;2022;2022;2022;2022;2022;2022;2022;2022;2022;2022;2022;2023;2023;2023;2023;2023;2023;2023;2023;2023
Blokk;B1;B1;B1;B2;B2;B2;B3;B3;B3;B4;B4;B4;B5;B5;B5;B6;B6;B6;B7;B7;B7;B8;B8;B8;B9;B9;B9;B10;B10;B10;B11;B11;B11;B12;B12;B12
Plott;R1;R2;R3;R1;R1;R1;R1;R2;R3;R1;R2;R3;R1;R2;R3;R1;R2;R3;R1;R2;R3;R1;R2;R3;R1;R2;R3;R1;R2;R3;R1;R2;R3;R1;R2;R3
Eksposisjon_0-360_grader;170;160;180;180;90;180;170;190;180;40;45;40;190;220;210;130;125;100;310;315;330;260;240;270;200;245;230;30;30;30;30;30;30;30;30;30
Torvdybde_1;30;25;25;35;40;25;10;5;5;25;40;35;10;14;5;5;15;15;15;10;10;60;20;10;15;20;15;NA;NA;NA;NA;NA;NA;NA;NA;NA
Torvdybde_2;15;10;40;10;30;30;15;10;10;40;30;15;12;12;7;12;17;21;40;30;15;22;15;10;20;30;10;NA;NA;NA;NA;NA;NA;NA;NA;NA
Torvdybde_3;8;5;15;15;35;40;10;10;15;31;15;20;37;20;10;26;23;23;35;15;25;10;12;5;10;15;30;NA;NA;NA;NA;NA;NA;NA;NA;NA
Torvdybde_4;12;15;10;20;25;25;10;15;10;28;30;20;14;15;8;20;27;12;30;25;15;16;17;17;15;10;20;NA;NA;NA;NA;NA;NA;NA;NA;NA
Helling;10;9;4;4;6;5;4;5;3;8;7;7;7;5;5;2;5;5;2;2;2;10;8;2;5;4;3;18;9;16;11;14;11;8;14;15
Antall_pellets;0;0;0;5;0;2;0;0;2;0;0;0;0;0;0;0;0;0;0;2;16;4;2;3;3;3;6;0;1;0;0;0;0;0;1;0
Hoyde_maks;41;37;62;38;29;42;71;22;30;42;43;40;29;26;27;41;43;37;22;12;27;14;12;16;22;12;10;59;47;46;71;46;48;99;49;52
Hoyde_minimum;1;2;2;2;2;2;2;2;2;2;16;18;2;2;2;2;2;2;1;1;1;1;1;1;1;1;1;6;7;8;8;5;4;8;10;6
Hoyde_snitt_1;19;16;31;16;14;16;14;12;12;19;20;12;19;12;17;21;24;24;8;6;12;4;9;14;18;10;4;28;15;19;22;14;30;32;14;24
Hoyde_snitt_2;16;31;18;12;12;28;22;9;16;20;19;10;20;17;16;27;26;21;6;8;9;6;8;10;9;8;3;41;17;21;26;24;19;31;22;26
Hoyde_snitt_3;18;12;26;9;21;24;21;11;14;38;14;19;21;19;12;23;30;23;9;4;11;9;8;11;4;4;3;32;21;15;19;19;15;19;21;18
Dybde_stro_1;0.5;1;1;2;2;1;1;0.5;1;4;3;2;2;2.5;2;3;3;3;1;1;1;1.5;2;2;2;2;1;2;3;2;2;2;2;3;2;3
Dybde_stro_2;1;2;1;1;0.5;1;2;1;0.5;3;2;1;1;2;1.5;1;2.5;3;1.5;0.5;1;1;1;2;1;1.5;1;1;1;2;3;1;1;1;2;3
Dybde_stro_3;0.5;1;2;2;1;2;1;1;2;2;1.5;2;2;1;2;3;2;2.5;1;1;0.5;2;1;1;2;1;1;3;1;3;3;3;3;2;3;2
Dybde_stro_4;1;1;1;1;1;1;2;0.5;1;2;2;1.5;1;1;1;2;1;1;2;0.5;1;1;1;1;1;1;1;2;2;2;2;2;2;3;1;2
Dekning_dod_rosslyng;0;0;0;0;0;3;0;0;0;5;0;3;0;4;3;0;0;0;3;2;4;20;10;15;2;1;1;0;0;0;0;0;0;0;0;0
Dekning_torkeskadet_rosslyng;0;0;0;0;0;0;0;0;0;4;5;10;2;5;8;3;1;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
Dekning_levende_rosslyng;30;30;60;50;75;50;70;50;75;80;90;70;85;75;75;75;80;75;2;2;2;2;2;2;2;2;2;0;0;0;0;0;0;0;0;0
